stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\user\Desktop\Tower\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08741] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08742] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08744] added dtor for sample_instance 0000000000E6D6B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08745] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08746] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08748] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08749] added dtor for sample_instance 0000000000E6ED30, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08751] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08752] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08753] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08755] added dtor for sample_instance 0000000000E6DA10, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08756] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08757] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08758] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08760] added dtor for sample_instance 0000000000E6EAF0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08761] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08763] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08764] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08765] added dtor for sample_instance 0000000000E6DB30, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08767] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08768] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08769] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08771] added dtor for sample_instance 0000000000E6F2D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08772] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08773] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08774] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08776] added dtor for sample_instance 0000000000E6EE50, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08777] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08778] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08780] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08782] added dtor for sample_instance 0000000000E6E790, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08783] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08784] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08785] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08787] added dtor for sample_instance 0000000000E6E8B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08788] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08789] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08791] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08792] added dtor for sample_instance 0000000000E6D7D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08794] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08796] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08797] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08800] added dtor for sample_instance 0000000000E6D8F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08802] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08804] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08805] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08808] added dtor for sample_instance 0000000000E6E1F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08810] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08811] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08812] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08814] added dtor for sample_instance 0000000000E6DFB0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08815] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08816] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08818] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08819] added dtor for sample_instance 0000000000E6E0D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08821] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08822] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08823] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08825] added dtor for sample_instance 0000000000E6E310, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08826] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08827] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08828] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08830] added dtor for sample_instance 0000000000E6E430, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08832] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08833] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08834] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08836] added dtor for sample_instance 0000000000E6E550, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08837] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08839] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08840] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08841] added dtor for sample_instance 0000000000E6E9D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08843] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08844] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08845] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08847] added dtor for sample_instance 0000000000E6EF70, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08848] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08850] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08851] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08852] added dtor for sample_instance 0000000000E6E670, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08854] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08855] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08856] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08858] added dtor for sample_instance 0000000000E6F090, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08859] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08860] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08862] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08865] added dtor for sample_instance 0000000000E723F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08867] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08868] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08869] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08871] added dtor for sample_instance 0000000000E71550, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08873] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08874] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08875] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08877] added dtor for sample_instance 0000000000E708F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08878] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08879] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08881] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08882] added dtor for sample_instance 0000000000E70FB0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08884] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08885] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08886] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08888] added dtor for sample_instance 0000000000E72750, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08889] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08891] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08892] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08894] added dtor for sample_instance 0000000000E71430, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08896] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08897] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08899] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08900] added dtor for sample_instance 0000000000E72CF0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08902] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08903] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08905] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08907] added dtor for sample_instance 0000000000E71F70, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08909] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08911] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08913] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08915] added dtor for sample_instance 0000000000E722D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08917] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08919] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08921] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08923] added dtor for sample_instance 0000000000E72E10, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08926] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08928] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08930] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08932] added dtor for sample_instance 0000000000E710D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08934] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08936] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08938] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08941] added dtor for sample_instance 0000000000E6FC90, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08943] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08945] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08947] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08949] added dtor for sample_instance 0000000000E711F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08952] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08953] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08955] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08958] added dtor for sample_instance 0000000000E6FED0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08960] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08962] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08964] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08966] added dtor for sample_instance 0000000000E70C50, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08968] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08970] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08973] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08975] added dtor for sample_instance 0000000000E6FDB0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08978] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08993] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08996] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09010] added dtor for sample_instance 0000000000E72AB0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09013] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09015] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09017] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09020] added dtor for sample_instance 0000000000E70B30, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09022] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09024] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09026] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09051] added dtor for sample_instance 0000000000E73710, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09055] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09057] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09059] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09062] added dtor for sample_instance 0000000000E73A70, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09064] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09066] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09068] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09071] added dtor for sample_instance 0000000000E72BD0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09073] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09075] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09077] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09080] added dtor for sample_instance 0000000000E70470, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09082] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09084] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09086] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09089] added dtor for sample_instance 0000000000E72870, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09091] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09093] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09095] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09098] added dtor for sample_instance 0000000000E707D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09100] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09102] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09104] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09106] added dtor for sample_instance 0000000000E733B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09109] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09111] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09114] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09116] added dtor for sample_instance 0000000000E72F30, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09119] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09121] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09122] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09125] added dtor for sample_instance 0000000000E72090, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09127] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09129] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09131] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09134] added dtor for sample_instance 0000000000E721B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09136] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09138] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09140] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09143] added dtor for sample_instance 0000000000E734D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09145] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09147] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09149] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09152] added dtor for sample_instance 0000000000E73950, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09154] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09156] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09158] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09161] added dtor for sample_instance 0000000000E73050, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09163] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09165] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09167] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09169] added dtor for sample_instance 0000000000E73170, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09172] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09173] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09175] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09178] added dtor for sample_instance 0000000000E6FFF0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09180] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09182] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09183] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09186] added dtor for sample_instance 0000000000E70A10, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09188] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09190] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09192] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09194] added dtor for sample_instance 0000000000E70110, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09197] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09199] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09201] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09204] added dtor for sample_instance 0000000000E70D70, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09206] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09208] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09210] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09212] added dtor for sample_instance 0000000000E70230, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09215] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09217] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09219] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09221] added dtor for sample_instance 0000000000E73290, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09224] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09226] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09228] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09230] added dtor for sample_instance 0000000000E70E90, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09232] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09234] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09236] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09239] added dtor for sample_instance 0000000000E71310, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09242] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09244] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09246] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09249] added dtor for sample_instance 0000000000E72990, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09251] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09253] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09254] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09257] added dtor for sample_instance 0000000000E735F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09259] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09261] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09263] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09265] added dtor for sample_instance 0000000000E71670, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09267] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09269] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09271] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09273] added dtor for sample_instance 0000000000E70350, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09276] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09277] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09280] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09282] added dtor for sample_instance 0000000000E72510, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09285] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09287] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09288] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09291] added dtor for sample_instance 0000000000E71790, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09293] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09295] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09297] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09299] added dtor for sample_instance 0000000000E718B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09301] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09303] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09305] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09308] added dtor for sample_instance 0000000000E71AF0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09310] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09312] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09314] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09316] added dtor for sample_instance 0000000000E72630, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09319] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09321] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09323] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09325] added dtor for sample_instance 0000000000E719D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09327] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09329] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09331] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09333] added dtor for sample_instance 0000000000E70590, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09336] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09338] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09339] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09344] added dtor for sample_instance 0000000000E71E50, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09346] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09348] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09350] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09352] added dtor for sample_instance 0000000000E706B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09354] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09356] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09357] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09359] added dtor for sample_instance 0000000000E73830, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09371] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09373] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09374] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09376] added dtor for sample_instance 0000000000E71C10, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09377] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09378] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09380] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.09381] added dtor for sample_instance 0000000000E71D30, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.09383] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.09384] 
